date,Labour force,Participation rate,Part-time employment,Full-time employment,Employment,Year-ended employment growth,Year-ended employment trend growth,Employment to population ratio,Unemployment,Unemployment rate,Unemployment rate trend,Hours worked,Hours worked trend,Year-ended hours worked trend growth,Average hours worked trend,Job vacancies,Private sector job vacancies,Vacancies to labour force ratio
1993-07-31,8565.8942318,62.2793674,1774.6812802,5853.4293427,7628.1106229,-0.30200556599733,-0.14623912398506,55.4610986,937.783609,10.9478775,10.9423787,1127440.303455,1132166.7679638,0.90115723416566,34.0947050139388,,,
1993-08-31,8595.8222232,62.4367455,1783.5564323,5868.1563845,7651.7128168,-0.25238521792172,0.122862146295,55.579098,944.1094065,10.9833519,10.97669,1135809.922425,1134936.8739894,1.15898930045348,34.0980119080766,46.2,37.8,0.537470398995769
1993-09-30,8593.38728,62.358984,1808.2288018,5862.0482319,7670.2770337,0.46030761454006,0.52720514550162,55.6603197,923.1102462,10.7420999,10.9825413,1133647.429273,1138799.4973361,1.55092876939524,34.1154227214431,,,
1993-10-31,8669.1468535,62.8594606,1816.9822012,5902.2283806,7719.2105818,0.97888580556917,1.00524326412523,55.9715301,949.9362717,10.9576673,10.9476209,1139263.299216,1143152.2635687,1.9748291788811,34.1374646774004,,,
1993-11-30,8680.163936,62.8900955,1820.9429397,5908.7758226,7729.7187624,2.11870289053464,1.46747291084408,56.0038675,950.4451736,10.9496224,10.872374,1156256.12845,1147305.9390636,2.3199062812674,34.1562800866042,48.5,39.9,0.558745207551343
1993-12-31,8679.3628488,62.8351055,1817.8329599,5927.7080237,7745.5409835,1.91958323483346,1.85763546313642,56.0746097,933.8218652,10.7591062,10.7539021,1156513.081475,1151122.9968129,2.53302662907164,34.171457020515,,,
1994-01-31,8683.9433947,62.7925679,1846.8597361,5919.373337,7766.2330731,1.50911396692504,2.16077980534009,56.1567131,917.7103216,10.5678985,10.5966057,1157703.116577,1154589.1957905,2.6273913253063,34.1818730483691,,,
1994-02-28,8693.7921308,62.7881625,1851.2854389,5938.4584195,7789.7438585,2.73971391880938,2.40942367222055,56.2589599,904.0482724,10.3987795,10.4135105,1154544.421869,1157890.0467588,2.69818059571352,34.1859385700993,57.6,48.5,0.662541720958995
1994-03-31,8710.7693287,62.8352114,1859.1288826,5949.7119203,7808.8408029,2.32353940603303,2.65692835743645,56.329142,901.9285259,10.3541776,10.2254582,1158451.546986,1161463.8687192,2.85196311992166,34.1912032605943,,,
1994-04-30,8685.7429868,62.6092856,1860.803107,5950.8834733,7811.6865803,2.61929844560889,2.941512892422,56.3088404,874.0564065,10.0631162,10.0514491,1164377.343683,1165736.0538817,3.14842408379397,34.2075930869416,,,
