date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Participation rate,Year-ended employment growth,Employment to population ratio,Unemployment rate,target_next_month_unemployment_rate
2014-03-31,15.732,16.134,2064.392,99.4577371260795,-3.82064385070837,64.7550701,0.84959312469821,60.9506539,5.8750862,5.8045405
2014-04-30,15.864,16.147,1428.123,99.7343562242776,-1.90560678273932,64.6754497,0.61566916207334,60.9213371,5.8045405,5.9298591
2014-05-31,16.741,16.238,2174.357,92.9428381303617,-3.2908542709177,64.5579348,0.48194662396506,60.7297402,5.9298591,6.048212
2014-06-30,16.312,16.452,3209.703,93.1685707797842,-2.08719180162524,64.6656067,0.5104687836379,60.7544938,6.048212,6.1719484
2014-07-31,16.807,16.835,1959.227,94.9054341117597,3.95183434406824,64.7637321,0.76777455656598,60.766548,6.1719484,6.1006
2014-08-31,18.02,17.343,1795.209,98.4687422267882,0.63825201449584,64.6544528,0.77830058804116,60.7101433,6.1006,6.2369083
2014-09-30,16.502,17.87,1956.37,93.9713019710244,-3.05502414262251,64.6594435,0.6360403388288,60.6266933,6.2369083,6.3574494
2014-10-31,18.1,18.366,2206.376,94.8118824306021,8.82296938156593,64.6444298,0.6256472346428,60.5346929,6.3574494,6.2969815
2014-11-30,20.299,18.76,2083.936,96.5728516447111,3.06200022991959,64.529679,0.810326344971,60.466257,6.2969815,6.1059907
2014-12-31,19.949,19.054,1848.344,91.0622386024552,1.55896773456194,64.6435761,1.57309944342827,60.6964454,6.1059907,6.3517065
2015-01-31,18.637,19.264,3238.737,93.23243,-0.65445685666206,64.7667893,1.35388134139993,60.6529929,6.3517065,6.1534393
2015-02-28,19.18,19.421,2088.972,100.725153187674,0.49581869495588,64.8933614,1.69728683695136,60.9001878,6.1534393,6.1032857
2015-03-31,20.398,19.5,1873.635,99.4715723147994,2.28033779867425,64.8691458,1.39910401695011,60.9099965,6.1032857,6.1124615
2015-04-30,18.857,19.493,1775.878,96.2489293151835,1.62563868799168,64.8024707,1.33683056932292,60.8414446,6.1124615,5.930874
2015-05-31,20.825,19.516,2333.959,102.369313991751,4.52776999073916,64.8413331,1.91735293234925,60.9956754,5.930874,6.0073726
2015-06-30,19.056,19.544,1945.967,95.3202803703007,5.83441073064424,64.7954925,1.72411786209365,60.9029859,6.0073726,6.2744531
2015-07-31,18.994,19.602,2382.329,92.2476557468786,4.27020261395159,65.0833851,1.86401696228635,60.9997586,6.2744531,6.0874419
2015-08-31,18.921,19.692,1910.301,99.4577803093036,7.35115826269453,64.89776,1.8691800766505,60.9471466,6.0874419,6.1743959
2015-09-30,20.235,19.779,2520.118,93.8680939243731,6.41823262798576,64.9850587,2.05051439958384,60.9726239,6.1743959,5.9124787
2015-10-31,21.77,19.743,2480.02,97.8228526556336,6.84068362964383,65.1543084,2.75936520574476,61.3020738,5.9124787,5.8505807
2015-11-30,19.147,19.598,2105.038,101.655707948258,8.91374971904943,65.2180609,3.04557430873973,61.4024256,5.8505807,5.7410701
2015-12-31,20.041,19.491,2191.319,100.840457888464,5.5443566581915,65.1474708,2.66444783221411,61.4073088,5.7410701,6.0412668
2016-01-31,17.516,19.411,2092.997,97.27799,-0.15692315928037,65.272092,2.62078930137173,61.3288308,6.0412668,5.6944879
2016-02-29,19.459,19.435,1988.548,101.322881078937,6.84465042338893,64.9976026,2.16404599309277,61.296322,5.6944879,5.6533355
